neo,desn,absolute_magnitude,magnitude_slope,epoch,mean_anomaly,argument_of_perihelion,longitude_of_the_ascending node,inclination,eccentricity,mean_motion,semi_major_axis,ref1,ref2,observations,oppostion,time_of_perihelion_passage, rms_residual,Polarization,rotation_period,computer,classification,desn,label,last _observation
0,6,5.71,0.24,K161D,133.26488,239.64121,138.69967,14.74416,0.2016652,0.2606635,2.4270715,0,MPO370963,5476,88,1848-2015,0.54,M-v,38h,MPCLINUX,7,-6,Hebe,20151203
0,105,8.57,0.1,K161D,202.94174,57.10601,188.26459,21.44428,0.1777828,0.26960968,2.3730801,0,MPO370964,1442,48,1915-2015,0.5,M-v,38h,MPCLINUX,7,-105,Artemis,20151217
0,186,8.91,0.15,K161D,221.08995,315.49435,14.7694,13.18339,0.1494558,0.2713724,2.3627926,0,MPO370965,1078,36,1914-2015,0.5,M-v,38h,MPCLINUX,7,-186,Celuta,20151123
0,234,9.02,0.15,K161D,323.42605,192.36134,144.55298,15.37499,0.2456138,0.26755682,2.3852031,0,MPO365243,3118,51,1885-2015,1,M-v,38h,MPCLINUX,7,-234,Barbara,20150918
0,273,10.26,0.15,K161D,74.59417,121.19755,158.95864,20.45405,0.1602702,0.26586027,2.3953396,0,MPO370966,1496,34,1911-2015,0.44,M-v,38h,MPCLINUX,7,-273,Atropos,20151222
0,304,9.74,0.07,K161D,10.67427,172.45048,159.08069,15.85324,0.2223814,0.26457856,2.4030692,0,MPO370966,1422,37,1891-2015,0.49,M-v,38h,MPCLINUX,7,-304,Olga,20151212
0,326,9.36,0.15,K161D,330.35338,238.52163,32.2081,23.72949,0.1897484,0.27938762,2.3173837,0,MPO365244,1145,38,1893-2016,0.49,M-v,38h,MPCLINUX,7,-326,Tamara,20160106
0,329,9.6,0.15,K161D,232.21305,55.6897,178.49097,15.88203,0.0254408,0.25292176,2.4763494,0,MPO370967,1617,41,1893-2015,0.5,M-v,38h,MPCLINUX,7,-329,Svea,20151222
0,432,8.84,0.15,K161D,310.39463,173.92401,88.76243,12.12019,0.145773,0.27026734,2.3692288,0,MPO370968,1375,48,1900-2015,0.49,M-v,38h,MPCLINUX,7,-432,Pythia,20151117
0,463,11.82,0.15,K161D,22.21332,329.23687,36.53353,13.54355,0.2206628,0.26541554,2.3980146,0,MPO370968,1281,26,1926-2015,0.45,M-v,38h,MPCLINUX,7,-463,Lola,20151210
0,502,10.77,0.15,K161D,217.83619,19.15996,133.00562,25.03129,0.179548,0.26799263,2.3826165,0,MPO370969,1271,31,1904-2015,0.43,M-v,38h,MPCLINUX,7,-502,Sigune,20151222
0,587,11.9,0.15,K161D,280.07573,188.60063,324.59252,24.99749,0.167081,0.27625815,2.3348518,0,MPO370970,1150,22,1949-2015,0.47,M-v,38h,MPCLINUX,7,-587,Hypsipyle,20151220
0,623,10.97,0.15,K161D,135.03952,124.47497,308.33964,14.12639,0.1132738,0.25530649,2.4609048,0,MPO365249,1223,28,1909-2016,0.45,M-v,38h,MPCLINUX,7,-623,Chimaera,20160210
0,654,8.52,0.15,K161D,355.26777,214.02365,278.47386,18.12652,0.2314253,0.28311664,2.2969901,0,MPO370971,1754,54,1908-2015,0.49,M-v,38h,MPCLINUX,7,-654,Zelinda,20151220
0,856,10.69,0.15,K161D,82.89344,72.9593,125.57902,14.3206,0.1185358,0.25931997,2.4354473,0,MPO365253,1329,30,1931-2015,0.45,M-v,38h,MPCLINUX,7,-856,Backlunda,20151012
0,865,11.7,0.15,K161D,132.74916,301.51817,177.07106,13.34225,0.1942372,0.26233554,2.4167476,0,MPO347520,1288,34,1908-2015,0.5,M-v,38h,MPCLINUX,7,-865,Zubaida,20150825
0,908,10.69,0.15,K161D,311.74266,23.67219,85.59656,13.40695,0.1467173,0.25341473,2.4731369,0,MPO370974,1129,34,1918-2015,0.46,M-v,38h,MPCLINUX,7,-908,Buda,20151216
0,914,8.76,0.15,K161D,20.02486,49.15653,255.80348,25.20461,0.2147238,0.25577875,2.4578747,0,MPO355100,1090,39,1931-2015,0.47,M-v,38h,MPCLINUX,7,-914,Palisana,20151013
0,930,11.2,0.15,K161D,336.02607,330.3351,340.99451,15.33529,0.1431879,0.26000192,2.4311869,0,MPO347521,1292,30,1920-2015,0.45,M-v,38h,MPCLINUX,7,-930,Westphalia,20150919
0,950,11.2,0.15,K161D,358.98626,348.25923,181.80737,23.47603,0.1586923,0.26973178,2.3723639,0,MPO365254,1277,30,1904-2016,0.48,M-v,38h,MPCLINUX,7,-950,Ahrensa,20160218
0,1090,12.49,0.15,K161D,108.42042,337.68228,148.04464,21.50889,0.2198839,0.27195318,2.3594274,0,MPO350806,1228,26,1928-2015,0.47,M-v,38h,MPCLINUX,7,-1090,Sumida,20150814
0,1159,11.55,0.15,K161D,234.7007,312.71956,347.89251,13.03204,0.0582606,0.2683417,2.3805498,0,MPO370977,1220,32,1929-2015,0.49,M-v,38h,MPCLINUX,7,-1159,Granada,20151213
0,1164,12.8,0.15,K161D,206.89633,341.16767,156.96398,25.19138,0.195896,0.28141541,2.3062381,0,MPO370977,994,24,1930-2015,0.46,M-v,38h,MPCLINUX,7,-1164,Kobolda,20151207
0,1236,11.93,0.15,K161D,112.77695,305.63362,48.70263,13.15812,0.2420445,0.26009255,2.4306221,0,MPO370978,1078,25,1931-2015,0.47,M-v,38h,MPCLINUX,7,-1236,Thais,20151218
