"","x"
"1",0.99999828279915
"2",1.33861490330713e-09
"3",0.999925994987956
"4",0.00242926954978106
"5",1.46198768051053e-33
"6",5.19607062185261e-22
"7",2.87814502800065e-05
"8",3.46521563115454e-05
"9",3.65522978926784e-16
"10",1.57791813529194e-05
"11",1.08183168180982e-07
"12",4.12950501324105e-10
"13",0.999999999968863
"14",3.24936427285276e-06
"15",0.43165064490661
"16",0.991168362803408
"17",0.000468037518100674
"18",3.67420587016306e-24
"19",0.00163550484161446
"20",7.14572222059553e-06
"21",0.00268356908989758
"22",5.79804756630645e-05
"23",0.0258036214886988
"24",3.12024736755477e-06
"25",8.16198741284316e-05
"26",0.00287408095460929
"27",3.88916644373335e-10
"28",0.00992878200824804
"29",1.51438296776078e-08
"30",4.23348163625116e-19
"31",0.4849353597643
"32",1.07889327593745e-07
"33",4.89772819239301e-13
"34",1.12107586026019e-22
"35",0.000231790170409076
"36",0.863068321684923
"37",0.444332667431099
"38",0.999999995486281
"39",0.999999998500063
"40",2.11195078298134e-06
"41",0.999995941401499
"42",4.71231362994217e-13
"43",0.00135286859043432
"44",0.0095876083717128
"45",6.48640810476104e-05
"46",6.71875733156996e-18
"47",6.95128697321756e-10
"48",1.14111729669124e-10
"49",3.63875197401411e-09
"50",0.00136179137837071
"51",0.999987954177557
"52",2.34649753651286e-06
"53",1.77786165940254e-15
"54",0.0383920291219187
"55",0.403364211976728
"56",1.19539962466367e-12
"57",1.15609929709403e-07
"58",0.99999579180838
"59",5.44499199460313e-05
"60",0.522982054406625
"61",1.06600481140557e-08
"62",2.02726877619194e-10
"63",4.58943731755587e-18
"64",5.81322868270223e-05
"65",4.80033978171207e-08
"66",0.999999989191796
"67",0.00010602546819942
"68",0.000364042980936044
"69",1.71517046370056e-06
"70",0.0239789700073274
"71",2.19879651618431e-06
"72",0.000742275786189818
"73",6.20207267325852e-05
"74",0.44947956627444
"75",5.04069073562776e-15
"76",0.999999918865985
"77",0.062897276137918
"78",8.81981878763854e-16
"79",0.366571410326912
"80",1.14973070082942e-12
"81",0.367356617964363
"82",0.115929845425937
"83",0.00452701952559509
"84",1.75347193934252e-07
