"posterior","tree"
0.999999999953857,"I(((V2))&((V9)))"
0.671656805923715,"I(((V12))&((((V7))&((V20)))))"
0.443536917429059,"I(((V4))&((V30)))"
0.428732653923431,"I(((V17))&((V10)))"
0.328343194003604,"I(((((V17))&((V10))))&((((V4))&((V30)))))"
0.254822163075851,"I(V12)"
0.214419474333773,"I(V30)"
0.20702708201207,"I(((V7))&((V20)))"
0.137315440337117,"I(V10)"
0.12322067509665,"I(V7)"
0.109497007051559,"I(V17)"
0.108868641070793,"I(V4)"
0.107456604508941,"I(((V17))&((((V4))&((V10)))))"
0.0751464064687117,"I(((V12))&((V20)))"
