"posterior","tree"
1,"I(((V19))&((V50)))"
1,"I(((((V37))&((V12))))&((V20)))"
0.999999999999999,"I(((V9))&((V2)))"
0.999999999999999,"I(V8)"
0.999999999999999,"I(((((V17))&((V4))))&((V10)))"
0.999999999999999,"I(((V18))&((V21)))"
0.999999999999999,"I(((V11))&((V13)))"
0.999999999999999,"I(((((V11))&((((V19))&((V50))))))&((V13)))"
0.999999999999999,"I(((((V3))&((V1))))&((V27)))"
0.999999990477423,"I(V7)"
0.918157047108912,"I(V17)"
0.91810791865471,"I(((V17))&((V30)))"
0.0818879212926595,"I(((V7))|((V30)))"
