"","x"
"I((((V11)&(((V19)&((V7)))))))",2.35317708447435e-222
"I((((V13)&(((V19)&((V50)))))))",2.57974490175236e-163
"I((((V27)|((V1)))))",2.64760809344706e-198
"I(((V1)&((V3)))&((V17)))",1.49380567658916e-146
"I(((V1)&((V3)))&((V27)))",0.167921558723507
"I(((V11)&((V13)))&((V50)))",1.20537177145083e-203
"I(((V11)&((V50)))&(((V19)&((V13)))))",1.48380510371991e-123
"I(((V13)&((V20)))|((V2)))",1.33017676881637e-180
"I(((V13)&((V9)))&((V2)))",3.68356303617204e-190
"I(((V17)&((V21)))&((V25)))",3.57202410848744e-190
"I(((V17)&((V30))))",0.832078413883647
"I(((V18)&((V21)))&((V12)))",6.39267580734356e-118
"I(((V19)&((V1)))&((V11)))",5.49715970697493e-184
"I(((V19)|((V11)))&((V50)))",2.40443722184308e-215
"I(((V20)&((V12)))&((V15)))",7.7280442122726e-158
"I(((V20)&((V37)))&((V4)))",5.20748876147947e-171
"I(((V21)&((V20)))&((V2)))",1.3662942081636e-148
"I(((V27)&((V13)))&(((V3)&((V1)))))",1.32933944235001e-76
"I(((V27)&((V37)))&(((V12)&((V20)))))",1.44988983972818e-170
"I(((V27)|((V1)))&((V3)))",1.27201167064939e-216
"I(((V27)|((V8)))&((V1)))",3.41359558863697e-206
"I(((V3)&((V1)))&((V11)))",2.19061474791798e-185
"I(((V3)&((V1)))|(((V17)&((V30)))))",4.61625652836788e-146
"I(((V3)|((V11)))&((V24)))",2.16967636182002e-171
"I(((V30)&((V36)))&((V7)))",2.3004356493351e-193
"I(((V30)|(((V11)|(((V18)|((V7)))))))&((V17)))",3.35425900587555e-184
"I(((V4)&((V10)))&((V8)))",5.11331019765692e-161
"I(((V50)&(((V19)&((V11)))))&((V12)))",5.52296007044936e-119
"I(((V8)&((V1)))&(((V27)&((V3)))))",2.6644389428589e-198
"I(((V8)&((V21)))&((V18)))",1.39787820563192e-137
"I(((V9)&((V13)))&((V2)))",1.77630405530503e-203
"I(((V9)&((V13)))&((V27)))",1.22112971811748e-220
"I(((V9)&((V8)))&((V2)))",3.75824369962909e-177
