"","x"
"I((((V1)&((V4)))&(((V9)&((V5)))))&((V38)))",0.000616205031779195
"I((((V11)&((V8)))&((V36)))&(((V5)&(((V9))))))",8.91633624122951e-06
"I((((V4)&(((V1)&((V4))))))&((V14)))",2.20747140952457e-05
"I((((V4)&((V1))))&((V5)))",7.12218136532145e-06
"I((((V5)))&((V9)))",0.00702466193957229
"I((((V8)))&((V2)))",0.311452636181473
"I(((V1)&((V4)))&(((V9)&((V5)))))",5.47237994457849e-05
"I(((V1)&((V4)))&((V10)))",2.5508079723543e-05
"I(((V1)&((V4)))&((V11)))",1.16431785904027e-05
"I(((V1)&((V4)))&((V22)))",7.74644750522468e-06
"I(((V1)&((V4)))&((V31)))",1.88581390355165e-05
"I(((V1)&((V4)))&((V39)))",0.000222475621112888
"I(((V1)&((V4)))&((V5)))",1.41873650518111e-05
"I(((V1)&((V4)))&((V8)))",3.65557186506739e-10
"I(((V1)&((V4)))|((V17)))",7.93610662449273e-05
"I(((V1)&((V4)))|((V25)))",4.10382166422058e-10
"I(((V11)&((V8)))&((V1)))",1.35351668449193e-05
"I(((V11)&((V8)))&((V18)))",7.12534497907513e-06
"I(((V11)&((V8)))&((V19)))",4.60843737630225e-05
"I(((V11)&((V8)))&((V27)))",0.000156296155279791
"I(((V11)&((V8)))&((V36)))",1.5539691467072e-05
"I(((V11)&((V8)))&((V5)))",7.77640522077374e-06
"I(((V17)&((V10)))&((V3)))",0.00244431188347065
"I(((V17)&((V37)))&((V30)))",7.88250216345395e-06
"I(((V17)|((V43)))|((V27)))",7.30322646256764e-06
"I(((V25)&(((V11)&((V8)))))&((V41)))",7.62565225273487e-06
"I(((V25)&((V1))))",1.11170748508595e-317
"I(((V25)&((V35)))&((V38)))",8.69937664710672e-06
"I(((V25)&((V4)))&((V1)))",1.11170748508595e-317
"I(((V27)&((V11)))&((V44)))",7.19627948549403e-05
"I(((V4)&(((V1)&((V4))))))",0.0139407097030325
"I(((V4)&((V1))))",0.00706123797993811
"I(((V4)&((V1)))&(((V1)&((V4)))))",0.0139405492537167
"I(((V4)&((V1)))&((V11)))",1.14769360043085e-05
"I(((V4)&((V1)))&((V2)))",1.48484182003804e-05
"I(((V4)&((V1)))&((V27)))",4.78668784711926e-05
"I(((V5)&((V31)))&(((V11)&((V8)))))",1.91163677073325e-05
"I(((V5)&((V9)))&(((V11)&((V8)))))",9.49786793509643e-06
"I(((V5)&((V9)))&(((V8)&((V11)))))",9.49917322450364e-06
"I(((V5)&((V9)))&((V35)))",1.00453706378332e-05
"I(((V5)&((V9)))&((V44)))",7.29328619059491e-05
"I(((V5)&((V9)))&((V8)))",2.63512942560447e-05
"I(((V8)&((V1)))&((V11)))",1.35638012209013e-05
"I(((V8)&((V11))))",0.00708384896776218
"I(((V8)&((V11)))&((V10)))",6.86104885094625e-05
"I(((V8)&((V11)))&((V15)))",1.12294427864183e-05
"I(((V8)&((V11)))&((V39)))",0.00021055627814859
"I(((V8)&((V11)))&((V40)))",3.94654655102236e-05
"I(((V8)&((V11)))&((V41)))",7.41805656799003e-06
"I(((V8)&((V11)))&((V44)))",0.000317635639694868
"I(((V8)&((V11)))&((V45)))",7.43511545016183e-06
"I(((V8)&((V42)))&((V11)))",6.65060519418634e-05
"I(((V9)&(((V5))))&((V23)))",7.69273306971284e-06
"I(((V9)&(((V5))))&((V7)))",2.35475719428294e-05
"I(((V9)&((V35))))",8.48605218527683e-06
"I(((V9)&((V5)))&(((V11)&((V8)))))",9.51290787193851e-06
"I(((V9)&((V5)))&(((V5)&((V31)))))",8.72839005640366e-06
"I(((V9)&((V5)))&((V35)))",1.00384211423775e-05
"I(((V9)&((V5)))&((V37)))",7.20003944006136e-06
"I(((V9)&((V5)))&((V45)))",5.73814649609433e-05
"I((V1)&((V2)))",1.35108681101778e-05
"I((V1)&((V26)))",2.34716993603439e-05
"I((V1)&((V27)))",1.11163489451209e-05
"I((V1)&((V33)))",7.3852613224378e-06
"I((V1)&((V39)))",0.0383956641768285
"I((V1)&((V4)))",0.862626141580891
"I((V1)&((V40)))",8.50683664600447e-06
"I((V1)&((V48)))",7.43043412212229e-06
"I((V1)|((V3)))",8.18404668647653e-06
"I((V11)&((V1)))",2.32316135031864e-05
"I((V11)&((V15)))",9.70258722917692e-06
"I((V11)&((V32)))",1.98484403221822e-05
"I((V11)&((V33)))",9.08439296283927e-06
"I((V11)&((V34)))",1.34292933498287e-05
"I((V11)&((V35)))",1.73222083982511e-05
"I((V11)&((V8)))",0.893699274459685
"I((V11)|((V8)))",3.63651856988491e-07
"I((V17)&((V10)))",0.406465969961792
"I((V17)&((V31)))",8.60984263951379e-05
"I((V17)&((V37)))",5.3685744828119e-05
"I((V17)&((V38)))",0.000239192977282412
"I((V17)&((V7)))",9.00691300351178e-06
"I((V17)|((V43)))",1.57140300620134e-05
"I((V25)&(((V11)&((V8)))))",8.80337695649644e-06
"I((V25)&((V1)))",7.83465754056272e-06
"I((V25)&((V35)))",1.3968342852953e-05
"I((V25)|((V32)))",0.000390225216213272
"I((V27)&((V49)))",0.000150058719755895
"I((V4)&(((V11)&((V8)))))",0.00052874888279022
"I((V4)&(((V9)&((V5)))))",7.35624740713523e-06
"I((V4)&((V1)))",0.109401717020714
"I((V4)&((V12)))",1.0063074338924e-05
"I((V4)&((V25)))",1.11170748508595e-317
"I((V4)&((V41)))",7.72357505792781e-06
"I((V4)&((V46)))",1.70134444094356e-08
"I((V4)&((V6)))",2.12201194888815e-320
"I((V5)&(((V11)&((V8)))))",1.56941994874288e-05
"I((V5)&(((V4)&((V1)))))",4.68229237528969e-05
"I((V5)&(((V8)&((V11)))))",7.77027518822891e-06
"I((V5)&(((V9))))",0.00707424892686284
"I((V5)&((V31)))",7.11064174866734e-06
"I((V5)&((V34)))",9.12872961844912e-06
"I((V5)&((V49)))",0.000599837007335559
"I((V5)&((V8)))",1.51389482782512e-08
"I((V5)&((V9)))",0.151631694724035
"I((V5)|((V9)))",7.41945627634124e-06
"I((V8)&((V1)))",1.78967897176032e-05
"I((V8)&((V11)))",0.0992026607060207
"I((V8)&((V2)))",1.34723781499054e-05
"I((V8)|((V11)))",1.38522146746817e-05
"I((V9)&(((V11)&((V8)))))",8.3238555493955e-06
"I((V9)&(((V5))))",0.00730715540632347
"I((V9)&((V16)))",1.23323063107864e-05
"I((V9)&((V4)))",7.10340037785151e-06
"I((V9)&((V5)))",0.826962177949582
"I(V1)",0.0133985795686534
"I(V11)",0.022332535356758
"I(V17)",0.0480717099569587
"I(V25)",0.00392113722994136
"I(V27)",0.00839336993573983
"I(V4)",0.00445056278942615
"I(V5)",0.00376829975173641
"I(V8)",0.00727513015566957
"I(V9)",0.00404341609587976
