"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","I(V2)","0.00363150957607013","I(V2)","0.999999999999996","I(V2)","0.999999999999999","I(V2)","0.00403779294310996","I(V2)","0.0032745546570299","I(V2)","0.00242776916548392","I(V2)","0.00146250150598069","I(V2)","1","I(V2)","0.00164259598230534","I(V2)","0.999999774479301"
"2","I(V4)","0.00223062362688825","I(V4)","0.00658935356144311","I(V4)","0.00164730063663624","I(V4)","0.760572112193426","I(V4)","0.999961498374769","I(V4)","0.0143684098674345","I(V4)","0.00153215251797487","I(V4)","0.0038759838508026","I(V4)","0.00162044078494879","I(V4)","0.00170077353582963"
"3","I(V7)","0.00533872665469661","I(V7)","0.999999999999996","I(V7)","0.99999999972081","I(V7)","0.00147778269549884","I(V7)","1","I(V7)","0.999999999999997","I(V7)","0.00148999714384916","I(V7)","1","I(V7)","0.126973129765866","I(V7)","0.00158991809534082"
"4","I(V9)","0.00239307613150243","I(V9)","0.999999976997808","I(V9)","0.999999999999999","I(V9)","0.00120529647366704","I(V9)","0.00180472882577591","I(V9)","0.00779409965189659","I(V9)","0.00658034678102623","I(V9)","1","I(V9)","0.0138225002680182","I(V9)","0.00169335394746317"
"5","I(V10)","0.00595633749921576","I(V10)","0.750170482458658","I(V10)","0.999952571655838","I(V10)","0.392734866722217","I(V10)","0.062683221516369","I(V10)","0.00250354288896383","I(V10)","0.00245627293554732","I(V10)","0.999999973245615","I(V10)","0.00815128897803413","I(V10)","0.00214815197042149"
"6","I(V12)","0.00247381972009451","I(V12)","0.999999999999996","I(V12)","0.00143437090393842","I(V12)","1","I(V12)","1","I(V12)","0.999999999999997","I(V12)","0.0250297911641618","I(V11)","0.0169844227986295","I(V12)","0.00203937974052924","I(V12)","0.00160690862651945"
"7","I(V17)","0.003789540065406","I(V17)","0.0147620651390151","I(V17)","0.00745362664232548","I(V17)","0.00182214073581876","I(V17)","0.00144462964999056","I(V17)","0.00140240544883876","I(V17)","0.999999528626665","I(V12)","0.00129648706885376","I(V17)","0.284410716669626","I(V17)","0.00445668016723722"
"8","I(V20)","0.00225582701542248","I(V20)","0.999999999999996","I(V20)","0.993392275089899","I(V20)","0.00584676510087425","I(V20)","1","I(V20)","0.999999999999997","I(V20)","0.999999999999998","I(V17)","0.00736588750871182","I(V20)","1","I(V20)","0.999999999999998"
"9","I(V30)","0.00451234662490364","I(V30)","0.98593502588999","I(V30)","0.00198324895012443","I(V30)","0.42635690792348","I(V30)","0.00208348982075282","I(V30)","0.836010364024235","I(V30)","0.996738910264943","I(V20)","0.00154220007861228","I(V30)","0.00115864560145445","I(V30)","0.00330526572072015"
"10","I(V31)","0.005218262843338","I(V37)","0.999999999999996","I(V37)","0.999999999999999","I(V37)","1","I(V37)","1","I(V37)","0.999999999999997","I(V37)","0.999999999999998","I(V30)","0.0231585036282439","I(V37)","1","I(V37)","0.999999999999998"
