"posterior","tree"
1,"I(V7)"
1,"I((V2)&((V9)))"
0.999999999959164,"I(V8)"
0.999999999844704,"I(V21)"
0.999999999833594,"I(V18)"
0.999997992761873,"I(V50)"
0.958475990745731,"I(V19)"
0.83227871080574,"I(V3)"
0.832078441276493,"I((V27)&((V1)))"
0.832078441109863,"I((V12)&(((V20)&((V37)))))"
0.832078413883647,"I(((V17)&((V30))))"
0.832072848094303,"I((V11)&((V13)))"
0.781199370180873,"I(V4)"
0.173790203287471,"I(V20)"
0.171578041061916,"I(V17)"
0.170575434821009,"I(V11)"
0.169128061744992,"I(V13)"
0.167921558723507,"I((V20)&((V37)))"
0.167921558723507,"I((V12)&(((V20))))"
0.167921558723507,"I(((V1)&((V3)))&((V27)))"
0.167921558718465,"I((V4)&((V30)))"
