"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","I(V2)","0.0023510298385109","0","I(V2)","0.183412163095326","0","I(V2)","0.281217047670088","0","I(V2)","0.999999476982845","0","I(V2)","0.999999999999998","0.499999999999999","I(V2)","0.00200819110884993","0","I(V2)","0.999999999999996","0","I(V2)","0.00156734120547142","0","I(V2)","0.00156099415349969","0","I(V2)","0.999999999999998","0.499999999999999"
"2","I(V4)","0.0025710509584072","0","I(V4)","0.00165990228051528","0","I(V4)","0.0018874218922019","0","I(V4)","0.00285204480044342","0","I(V4)","0.00240921694239763","0.00120460847119882","I(V4)","0.00307161852054095","0","I(V4)","0.00240412769284863","0","I(V4)","0.9999999958202","0","I(V4)","0.0037969119160857","0","I(V4)","0.00155128168727823","0.000775640843639115"
"3","I(V7)","0.999999999999997","0","I(V7)","0.00183287113861486","0","I(V7)","0.00142686261807763","0","I(V7)","0.999999999999998","0","I(V7)","0.00728546263984218","0.00364273131992109","I(V7)","0.999999999999997","0","I(V7)","0.00161955657194518","0","I(V7)","0.00162919757202591","0","I(V7)","0.999999999999996","0","I(V7)","0.00514804407879986","0.00257402203939993"
"4","I(V9)","0.00177209316202443","0","I(V9)","0.00213727086783774","0","I(V9)","0.00864049981091884","0","I(V9)","0.00198906340250293","0","I(V9)","0.999999999999998","0.499999999999999","I(V9)","0.00200758286208309","0","I(V9)","0.999999999999996","0","I(V9)","0.00156581353959398","0","I(V9)","0.00155737087802159","0","I(V9)","0.999999999999998","0.499999999999999"
"5","I(V10)","0.00181295606264985","0","I(V10)","0.00251382944491403","0","I(V10)","1","0","I(V10)","0.00167426528397742","0","I(V10)","0.0113344675946988","0.0056672337973494","I(V10)","0.00183794516148247","0","I(V10)","0.00161646274953727","0","I(V10)","0.00183565177242357","0","I(V10)","0.00181593886782606","0","I(V10)","0.00273633932623112","0.00136816966311556"
"6","I(V12)","0.00316378535711101","0","I(V12)","0.0403413688720663","0","I(V12)","1","0","I(V12)","0.999999999999998","0","I(V12)","0.030646063761387","0.0153230318806935","I(V12)","0.00251737238612945","0","I(V12)","0.0082946800295131","0","I(V12)","0.00762862335060511","0","I(V12)","0.999999999999996","0","I(V12)","0.0343299683971403","0.0171649841985702"
"7","I(V17)","0.00204367085323399","0","I(V17)","0.999999999999996","0","I(V17)","0.00253248650059424","0","I(V17)","0.00324946102584049","0","I(V17)","0.0356355092972362","0.0178177546486181","I(V17)","0.00195872599998176","0","I(V17)","0.00186379647014514","0","I(V17)","0.00280725513347037","0","I(V17)","0.00326481913701627","0","I(V17)","0.00478065685818842","0.00239032842909421"
"8","I(V20)","0.00188331018110543","0","I(V20)","0.00734329962401863","0","I(V20)","0.00227230278381911","0","I(V20)","0.000967015827327231","0","I(V20)","0.00162510637055673","0.000812553185278365","I(V20)","0.00186298413532301","0","I(V20)","0.00189187387067766","0","I(V20)","1","0","I(V20)","0.00170491201743776","0","I(V20)","0.00155214641515729","0.000776073207578645"
"9","I(V30)","0.00228572763644925","0","I(V30)","0.00383458669471581","0","I(V30)","0.999999999999997","0","I(V30)","0.00143496262030624","0","I(V30)","0.00445808505479575","0.00222904252739788","I(V30)","0.00237207334876172","0","I(V30)","0.00196227547639296","0","I(V30)","0.010464237922327","0","I(V30)","0.00296977582282639","0","I(V30)","0.00214644735088531","0.00107322367544266"
"10","I(V37)","0.999999999999997","0","I(V37)","0.999999999999996","0","I(V37)","1","0","I(V37)","0.999999999999998","0","I(V37)","0.999999999999998","0.499999999999999","I(V37)","0.999999999999997","0","I(V37)","0.999999999999996","0","I(V37)","1","0","I(V37)","0.999999999999996","0","I(V37)","0.999999999999998","0.499999999999999"
