"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0.6362,0.658,0.6965,0.1781,0.25,0.2817,0.2203,0.2571,0.3006,57.331,64.5714,75.443,0.059,0.0868,0.116
"MJMCMC(AIC)",0.6299,0.6549,0.6861,0.1892,0.2535,0.2897,0.2257,0.2573,0.2965,51.867,56.8225,63.111,0.134,0.1396,0.147
"tXGBOOST(AUC)",0.58,0.6152,0.6486,0.2208,0.2724,0.3108,0.2539,0.2812,0.3105,0.723,3.1977,23.911,0.009,0.0172,0.04
"lXGBOOST(AUC)",0.6195,0.6561,0.6798,0.2079,0.2554,0.2857,0.231,0.2549,0.287,0.458,0.8539,3.507,0,0.0021,0.013
"LASSO",0.6279,0.6526,0.6757,0.2079,0.2561,0.2837,0.2363,0.2581,0.2891,0.038,0.0493,0.062,0.002,0.0021,0.003
"RIDGE",0.6341,0.6607,0.6861,0.1973,0.251,0.2756,0.2284,0.2541,0.2891,0.038,0.0424,0.052,0.002,0.0028,0.004
"RFOREST",0.5759,0.6131,0.6549,0.1902,0.2484,0.3033,0.271,0.3062,0.3554,1.258,1.2855,1.312,0.363,0.4589,0.684
"DEEPNETS",0.5447,0.6185,0.659,0.1336,0.193,0.2857,0.2568,0.3418,0.4303,4.316,4.684,6.528,1.331,1.4301,1.557
"NAIVEBAYESS",0.6195,0.6572,0.6923,0.1084,0.1522,0.1864,0.2875,0.338,0.3698,1.203,1.2392,1.277,0.332,0.4234,0.63
"LR",0.6029,0.6266,0.657,0.0476,0.1266,0.1973,0.3153,0.3775,0.4267,0.201,0.3244,1.221,0.342,0.4227,0.522
"KMEANS",0.3638,0.5279,0.6466,0.2405,0.3095,0.4014,0.2806,0.3225,0.3773,0.119,0.5519,1.19,0.37,0.4529,0.586
