"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0.963,0.9958,0.9999,2e-04,6e-04,0.0358,0,0.0014,0.103,50.611,63.7935,70.205,3.495,5.763,7.199
"MJMCMC(AIC)",0.9942,0.9946,0.9947,4e-04,4e-04,4e-04,0.0155,0.0159,0.0171,3.819,5.0985,7.437,0.341,0.396,0.442
"GMJMCMC(LASSO)",0.9957,0.9996,0.9999,2e-04,6e-04,0.0063,0,0,6e-04,86.049,102.465,120.856,4.479,6.0695,7.38
"MJMCMC(LASSO)",0.9996,0.9997,0.9998,4e-04,5e-04,6e-04,0,0,0,6.216,6.736,7.94,0.339,0.3555,0.662
"tXGBOOST(AUC)",0.8283,0.8283,0.8283,7e-04,7e-04,7e-04,0.3488,0.3488,0.3488,3.366,6.2865,30.317,0.437,0.497,1.246
"tXGBOOST(logLik)",0.8283,0.8283,0.8283,7e-04,7e-04,7e-04,0.3488,0.3488,0.3488,5.047,8.852,57.821,0.417,0.496,0.76
"lXGBOOST(AUC)",0.9979,0.9979,0.9979,0.003,0.003,0.003,0,0,0,9.191,14.052,73.253,0,0.027,0.057
"lXGBOOST(logLik)",0.9979,0.9979,0.9979,0.003,0.003,0.003,0,0,0,10.102,16.4385,82.204,0.001,0.027,0.062
"LASSO",0.999,0.999,0.999,0.0015,0.0015,0.0015,0,0,0,0.003,0.003,0.004,0.046,0.05,0.079
"RIDGE",0.9981,0.9981,0.9981,0.0028,0.0028,0.0028,0,0,0,0.003,0.004,0.004,0.063,0.0675,0.085
"RFOREST",0.8743,0.8743,0.8743,0.1494,0.1494,0.1494,0.019,0.019,0.019,0.205,1.2185,1.239,0.919,2.7285,3.472
"DEEPNETS",0.9375,0.9789,0.9994,9e-04,0.0296,0.0841,0,0,0.0956,1.233,1.251,1.381,3.864,4.7435,5.368
"NAIVEBAYESS",0.9962,0.9962,0.9962,0.0056,0.0056,0.0056,0,0,0,1.174,1.179,1.287,0.849,1.692,2.871
"LR",0.6473,0.6473,0.6473,0.0472,0.0472,0.0472,0.4996,0.4996,0.4996,0.138,0.144,0.188,1.838,2.6885,3.342
"KMEANS",0.9375,0.9789,0.9994,9e-04,0.0296,0.0841,0,0,0.0956,0.103,0.108,0.181,3.918,4.773,6.406
