"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0.9602,0.9951,0.9999,1e-04,3e-04,0.0485,0,0.0026,0.11,24.37,29.497,33.716,3.921,4.814,5.853
"MJMCMC(AIC)",0.9943,0.9946,0.9947,2e-04,2e-04,2e-04,0.0159,0.0162,0.0172,3.217,4.5665,8.593,0.31,0.357,0.405
"GMJMCMC(LASSO)",0.9452,0.9996,0.9999,1e-04,6e-04,0.0746,0,0,9e-04,44.366,54.25,71.292,3.844,4.8895,5.899
"MJMCMC(LASSO)",0.9996,0.9997,0.9998,4e-04,4e-04,6e-04,0,0,0,5.116,6.0735,7.366,0.306,0.363,0.437
"tXGBOOST(AUC)",0.8283,0.8283,0.8283,5e-04,5e-04,5e-04,0.3488,0.3488,0.3488,1.024,5.658,30.304,0.313,0.492,0.714
"tXGBOOST(logLik)",0.8283,0.8283,0.8283,5e-04,5e-04,5e-04,0.3488,0.3488,0.3488,1.391,8.21,15.74,0.31,0.4935,0.635
"lXGBOOST(AUC)",0.998,0.998,0.998,0.0029,0.0029,0.0029,0,0,0,3.622,13.627,50.412,0,0.0345,0.064
"lXGBOOST(logLik)",0.998,0.998,0.998,0.0029,0.0029,0.0029,0,0,0,2.428,15.931,30.5,0,0.0315,0.058
"LASSO",0.9991,0.9991,0.9991,0.0013,0.0013,0.0013,0,0,0,0.002,0.003,0.004,0.046,0.05,0.058
"RIDGE",0.9982,0.9982,0.9982,0.0026,0.0026,0.0026,0,0,0,0.003,0.003,0.004,0.064,0.071,1.027
"RFOREST",0.8744,0.8744,0.8744,0.1493,0.1493,0.1493,0.019,0.019,0.019,1.205,1.212,1.297,1.939,2.9305,3.538
"DEEPNETS",0.9348,0.981,0.9982,0.0015,0.0265,0.0874,0,0,0.0705,1.231,1.2395,1.436,4.44,4.9175,5.818
"NAIVEBAYESS",0.9963,0.9963,0.9963,0.0054,0.0054,0.0054,0,0,0,1.169,1.175,1.31,1.451,1.868,2.286
"LR",0.6471,0.6471,0.6471,0.0471,0.0471,0.0471,0.4996,0.4996,0.4996,0.134,0.14,0.271,1.757,2.8665,3.3
"KMEANS",0.9348,0.981,0.9982,0.0015,0.0265,0.0874,0,0,0.0705,0.101,0.106,0.146,4.527,4.972,5.874
