"","V1","V2"
"I(Eccentricity)","I(Eccentricity)","1"
"I(expi(I(I(PeriodDays)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))))","I(expi(I(I(PeriodDays)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))))","1"
"I(I(HostStarMassSlrMass)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarMassSlrMass)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(HostStarMassSlrMass)*I(troot(I(PeriodDays))))","I(I(HostStarMassSlrMass)*I(troot(I(PeriodDays))))","2"
"I(I(HostStarMetallicity)*I(I(PeriodDays)*I(HostStarMetallicity)))","I(I(HostStarMetallicity)*I(I(PeriodDays)*I(HostStarMetallicity)))","1"
"I(I(HostStarMetallicity)*I(PeriodDays))","I(I(HostStarMetallicity)*I(PeriodDays))","3"
"I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))","I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))","1"
"I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PlanetaryDensJpt)))","I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PlanetaryDensJpt)))","1"
"I(I(HostStarRadiusSlrRad)*I(PeriodDays))","I(I(HostStarRadiusSlrRad)*I(PeriodDays))","5"
"I(I(HostStarRadiusSlrRad)*I(to35(I(logi(I(PeriodDays))))))","I(I(HostStarRadiusSlrRad)*I(to35(I(logi(I(PeriodDays))))))","1"
"I(I(HostStarRadiusSlrRad)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarRadiusSlrRad)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(HostStarTempK)*I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays)))))","I(I(HostStarTempK)*I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays)))))","3"
"I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(HostStarTempK)*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
