"posterior","tree"
0.999999999999999,"I(PlanetaryDensJpt)"
0.943827596765113,"I(PeriodDays)"
0.94337435777995,"I(sigmoid(I(RadiusJpt)))"
0.943374357779947,"I(logi(m(-0.00071991,1) +m(-0.01487502,I(RadiusJpt))+m(-0.00172054,I(PlanetaryDensJpt))))"
0.943374350532519,"I(logi(I(PlanetaryDensJpt)))"
0.880142545720388,"I(SemiMajorAxisAU)"
0.566223604774026,"I(RadiusJpt)"
0.0658392406992487,"I(HostStarMetallicity)"
0.0566149127847782,"I(sigmoid(m(2.642e-05,1) +m(7.125e-05,I(PlanetaryDensJpt))+m(4.451e-05,I(HostStarMetallicity))))"
0.0566149127847782,"I(exp(m(9.455e-05,1) +m(-2.548e-05,I(RadiusJpt))+m(1.32e-05,I(PlanetaryDensJpt))))"
0.056263913457877,"I(exp(I(PlanetaryDensJpt)))"
