"X","x"
"I(Eccentricity)",0.0232031587420923
"I(exp(I(SemiMajorAxisAU)))",0.994640539498881
"I(HostStarMassSlrMass)",0.0134134733161183
"I(HostStarMetallicity)",0.00579723113356662
"I(HostStarRadiusSlrRad)",0.00589654219418029
"I(logi(m(0.00021826,1) +m(0.0073633,I(RadiusJpt))+m(0.00218,I(PlanetaryDensJpt))))",0.999856533660135
"I(PeriodDays)",0.161456885218177
"I(PlanetaryDensJpt)",1.00222940626116
"I(RadiusJpt)",0.996189994930602
"I(SemiMajorAxisAU)",0.24180395173429
"I(sigmoid(I(RadiusJpt)))",0.999999999999837
