"","V1","V2"
"I(HostStarMassSlrMass)","I(HostStarMassSlrMass)","10"
"I(HostStarTempK)","I(HostStarTempK)","2"
"I(I(expi(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(expi(I(RadiusJpt)))*I(PlanetaryDensJpt))","2"
"I(I(HostStarRadiusSlrRad)*I(I(sini(I(I(HostStarRadiusSlrRad)*I(PlanetaryDensJpt))))*I(RadiusJpt)))","I(I(HostStarRadiusSlrRad)*I(I(sini(I(I(HostStarRadiusSlrRad)*I(PlanetaryDensJpt))))*I(RadiusJpt)))","1"
"I(I(I(expi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(expi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))","1"
"I(I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(HostStarTempK))*I(RadiusJpt))","I(I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(HostStarTempK))*I(RadiusJpt))","1"
"I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))*I(RadiusJpt))","3"
"I(I(I(I(RadiusJpt)*I(HostStarTempK))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(HostStarTempK))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","1"
"I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","3"
"I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt))*I(RadiusJpt))","1"
"I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt))","I(I(I(I(RadiusJpt)*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt))","1"
"I(I(I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(I(troot(I(PlanetaryDensJpt)))*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt))","I(I(I(I(troot(I(PlanetaryDensJpt)))*I(RadiusJpt))*I(RadiusJpt))*I(PlanetaryDensJpt))","1"
"I(I(I(I(troot(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(I(troot(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt)))*I(RadiusJpt))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(expi(I(RadiusJpt))))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(expi(I(RadiusJpt))))","1"
"I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt))","4"
"I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(logi(I(PlanetaryDensJpt)))))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(logi(I(PlanetaryDensJpt)))))*I(RadiusJpt))","1"
"I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","2"
"I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","4"
"I(I(I(RadiusJpt)*I(I(sini(I(PlanetaryDensJpt)))*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(sini(I(PlanetaryDensJpt)))*I(RadiusJpt)))*I(RadiusJpt))","1"
"I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))","4"
"I(I(I(RadiusJpt)*I(RadiusJpt))*I(I(HostStarTempK)*I(PlanetaryDensJpt)))","I(I(I(RadiusJpt)*I(RadiusJpt))*I(I(HostStarTempK)*I(PlanetaryDensJpt)))","1"
"I(I(I(RadiusJpt)*I(RadiusJpt))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(I(RadiusJpt)*I(RadiusJpt))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","1"
"I(I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))*I(RadiusJpt))","1"
"I(I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt))","1"
"I(I(I(sini(I(I(HostStarRadiusSlrRad)*I(PlanetaryDensJpt))))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(sini(I(I(HostStarRadiusSlrRad)*I(PlanetaryDensJpt))))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(I(PlanetaryDensJpt)*I(logi(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(logi(I(RadiusJpt))))","2"
"I(I(PlanetaryDensJpt)*I(PeriodDays))","I(I(PlanetaryDensJpt)*I(PeriodDays))","1"
"I(I(PlanetaryDensJpt)*I(RadiusJpt))","I(I(PlanetaryDensJpt)*I(RadiusJpt))","11"
"I(I(PlanetaryDensJpt)*I(sigmoid(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(sigmoid(I(RadiusJpt))))","2"
"I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","3"
