"","min(prec)","median(prec)","max(prec)","min(fnr)","median(fnr)","max(fnr)","min(fpr)","median(fpr)","max(fpr)","min(ltime)","median(ltime)","max(ltime)","min(ptime)","median(ptime)","max(ptime)"
"GMJMCMC(AIC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MJMCMC(AIC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lXGBOOST(logLik)",0.913866231647635,0.913866231647635,0.913866231647635,0.108345534407028,0.108345534407028,0.108345534407028,0.0590932246561386,0.0590932246561386,0.0590932246561386,4.87000000000012,5.31050000000005,12.568,0,0.000999999999294232,0.0280000000002474
"tXGBOOST(logLik)",0.9442088091354,0.946492659053834,0.948123980424144,0.074468085106383,0.0783199588630536,0.0821401657874906,0.0294272201786653,0.0319706498951782,0.0350052246603971,28.3199999999999,31.3575,84.8759999999997,0,0,0
"LASSO",0.917128874388255,0.917128874388255,0.917128874388255,0.107692307692308,0.107692307692308,0.107692307692308,0.0547594677584442,0.0547594677584442,0.0547594677584442,0.435999999999922,0.448499999999797,0.515000000000327,0.0149999999998727,0.0160000000000764,0.0210000000000008
"RIDGE",0.915171288743883,0.915171288743883,0.915171288743883,0.128755364806867,0.128755364806867,0.128755364806867,0.041515308770109,0.041515308770109,0.041515308770109,0.129999999999882,0.135999999999967,0.244,0.0179999999999723,0.0190000000002328,0.0409999999999968
"RFOREST",0.921044045676998,0.93278955954323,0.941272430668842,0.0572755417956656,0.081447963800905,0.117391304347826,0.029936974789916,0.0484286450283359,0.0824639841033284,1.22599999999966,1.24950000000001,1.42200000000003,0.176000000000386,1.20100000000002,1.24000000000001
"DEEPNETS",0.900163132137031,0.929200652528548,0.935725938009788,0.0572755417956656,0.0845545494088339,0.14646110721794,0.0309548793284365,0.0530632548725834,0.0829195630585899,10.3700000000003,11.444,16.623,1.17899999999963,1.19400000000024,1.28700000000003
"LR",0.919412724306688,0.919412724306688,0.919412724306688,0.0680948737566947,0.0680948737566947,0.0680948737566947,0.0788029925187032,0.0788029925187032,0.0788029925187032,1.17399999999998,1.19749999999999,1.33100000000013,0.159999999999854,0.180000000000177,1.22599999999966
"NAIVEBAYESS",0.781076672104405,0.781076672104405,0.781076672104405,0.0800604229607251,0.0800604229607251,0.0800604229607251,0.23424543946932,0.23424543946932,0.23424543946932,1.1880000000001,1.21250000000009,1.32100000000014,1.18499999999949,1.20050000000003,1.53099999999995
"KMEANS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
