"X","x"
"I(atan(I(atan(I(x31)))))",1.66486907935801e-30
"I(atan(I(atan(I(x42)))))",4.1490343418527e-17
"I(atan(I(atan(I(x45)))))",1.21347713133102e-13
"I(atan(I(atan(I(x57)))))",2.90259000247858e-47
"I(atan(I(gauss(I(gauss(I(x53)))))))",1.56830085478332e-15
"I(atan(I(gauss(I(gauss(I(x55)))))))",1.59886177758306e-11
"I(atan(I(gauss(I(I(m(-0.09818021,1))+I(m(0.33862267,I(x10)))+I(m(2.47505176,I(x23)))+I(m(-0.38750951,I(x36))))))))",2.55732733725506e-17
"I(atan(I(gauss(I(I(x36)*I(x29))))))",3.01453556161843e-11
"I(atan(I(gauss(I(x1)))))",2.74728848935248e-29
"I(atan(I(gauss(I(x33)))))",2.90259000648024e-47
"I(atan(I(I(I(x15)*I(sin(I(x36))))*I(x15))))",1.40803563685016e-09
"I(atan(I(I(I(x46)*I(x5))*I(atan(I(x20))))))",2.55609395730706e-17
"I(atan(I(I(m(-0.00774163,1))+I(m(-0.17738558,I(I(I(x8)*I(x7))*I(x42))))+I(m(-3.03844453,I(gmedi(I(x25))))))))",1.25941135052668e-35
"I(atan(I(I(m(-0.0229044,1))+I(m(0.56300032,I(x5)))+I(m(2.62791404,I(x7))))))",2.60151935050858e-31
"I(atan(I(I(m(-0.15567448,1))+I(m(1.34410633,I(x57)))+I(m(12.01186873,I(I(gfquar(I(I(m(-2.07683319,1))+I(m(-5.47759519,I(x29)))+I(m(-1.07459694,I(x33)))+I(m(2.73054733,I(glquar(I(I(m(-0.10814758,1))+I(m(2.71354995,I(x53)))+I(m(0.98935552,I(x54)))))))))))*I(x16)))))))",2.84879788212614e-27
"I(atan(I(I(m(-0.23212164,1))+I(m(2.47710308,I(x23)))+I(m(-0.2663717,I(x40)))+I(m(-1.28371335,I(x46))))))",2.90259115864116e-47
"I(atan(I(I(m(-0.30317269,1))+I(m(0.38197845,I(x1)))+I(m(-1.92395176,I(glquar(I(x28))))))))",1.26149005172821e-05
"I(atan(I(I(m(-0.33295691,1))+I(m(0.38704799,I(x10)))+I(m(2.32427748,I(x54)))+I(m(4.52568453,I(I(x54)*I(x45)))))))",2.12100727135576e-07
"I(atan(I(I(m(-0.39916464,1))+I(m(2.11410012,I(x52)))+I(m(-0.76601446,I(x39))))))",0.0599259149322365
"I(atan(I(I(m(-0.44137119,1))+I(m(0.65590104,I(x9)))+I(m(-0.1281886,I(x38))))))",3.06165587938656e-41
"I(atan(I(I(m(-0.5013623,1))+I(m(-0.66958106,I(x43)))+I(m(0.27195245,I(atan(I(x12))))))))",1.95481275407144e-16
"I(atan(I(I(m(-0.61577929,1))+I(m(2.40249403,I(x23)))+I(m(-2.81248999,I(x42)))+I(m(-1.26300648,I(x46))))))",3.0236667123265e-25
"I(atan(I(I(m(-0.6247624,1))+I(m(-1.61245826,I(x44)))+I(m(0.26029849,I(I(x5)*I(x21)))))))",4.18534045608122e-38
"I(atan(I(I(m(-0.67904662,1))+I(m(-1.07568112,I(tanh(I(x45)))))+I(m(-0.20087593,I(sin(I(I(m(-0.65781716,1))+I(m(-1.47597473,I(x44)))+I(m(-2.67435304,I(x48)))+I(m(1.52428395,I(sin(I(x48)))))))))))))",2.90488981674055e-86
"I(atan(I(I(m(-0.68322025,1))+I(m(-1.54110412,I(x44)))+I(m(-0.76912704,I(x37))))))",1.15543512446454e-37
"I(atan(I(I(m(-0.85464146,1))+I(m(-2.97614033,I(x35)))+I(m(-0.30058709,I(x49)))+I(m(0.76914304,I(x17)))+I(m(0.27401383,I(x13))))))",7.47278061941074e-18
"I(atan(I(I(m(-0.86981413,1))+I(m(-4.59664492,I(x35)))+I(m(2.82600202,I(x53))))))",7.17064950497371e-26
"I(atan(I(I(m(-0.94059554,1))+I(m(0.7007389,I(x21)))+I(m(4.05184039,I(atan(I(x20)))))+I(m(1.75061399,I(gmedi(I(x55))))))))",1.72197610591816e-49
"I(atan(I(I(m(-0.96360072,1))+I(m(0.60009518,I(x6)))+I(m(-3.58896571,I(x42))))))",7.67920827689078e-14
"I(atan(I(I(m(-2.23982292,1))+I(m(-6.94955614,I(x26)))+I(m(-0.1381191,I(atan(I(x28))))))))",1.60744053692423e-30
"I(atan(I(I(m(-2.51941684,1))+I(m(-1.24685568,I(tanh(I(x45)))))+I(m(-7.37077672,I(tanh(I(x25))))))))",1.37474101700767e-15
"I(atan(I(I(m(-2.67373123,1))+I(m(-0.46590164,I(sin(I(I(m(-0.90770245,1))+I(m(-3.11975425,I(x35)))+I(m(0.06773933,I(I(x44)*I(x57)))))))))+I(m(2.21536023,I(gauss(I(x39)))))+I(m(-0.13984887,I(I(x45)*I(x53)))))))",1.32417518634342e-54
"I(atan(I(I(m(-2.8939897,1))+I(m(3.42771503,I(x20)))+I(m(-17.54050588,I(x27)))+I(m(1.00106905,I(x54)))+I(m(1.9142984,I(atan(I(I(m(-0.0229044,1))+I(m(0.56300032,I(x5)))+I(m(2.62791404,I(x7)))))))))))",2.90259000247858e-47
"I(atan(I(I(m(-4.17601902,1))+I(m(0.15550321,I(x12)))+I(m(5.52890487,I(tanh(I(gauss(I(I(m(-2.03990246,1))+I(m(0.11058267,I(x12)))+I(m(-6.13266199,I(x25)))))))))))))",1.26381314975889e-14
"I(atan(I(I(m(-5.26723371,1))+I(m(5.52777711,I(gauss(I(x25)))))+I(m(0.57151176,I(I(x29)*I(x27)))))))",3.23557119174611e-17
"I(atan(I(I(m(-5.55552782,1))+I(m(-24.77326768,I(x27)))+I(m(1.99263606,I(atan(I(sin(I(x57))))))))))",2.90488981674055e-86
"I(atan(I(I(m(0.48528876,1))+I(m(14.26776431,I(x55)))+I(m(0.42136636,I(I(x50)*I(glquar(I(I(x46)*I(x21))))))))))",8.19005152684594e-14
"I(atan(I(I(m(0.87532284,1))+I(m(-1.901251,I(sin(I(gauss(I(x18)))))))+I(m(-0.1182871,I(x38))))))",2.70834819390962e-15
"I(atan(I(I(m(1.34249966,1))+I(m(0.6539321,I(I(x1)*I(x53))))+I(m(-2.32879514,I(gauss(I(x6))))))))",5.79026054949075e-22
