RILNumber,Far_Red,Red,White,Blue,Dark,AssayID,44607520,44606354,T1G11,44607217,F21M12,44606370,44606867,44606517,44606468,21607648,44607652,21607761,44607971,44606183,MSAT1.10,21607640,44607660,21607615,ZFPG,21607242,44607693,44607528,NGA392,21607165,44607873,44606305,21607548,44607963,21607540,21607234,MSAT1.4,T27K12,44606411,44607168,44606883,21607361,44607299,21607065,44606973,21607336,44606875,44607152,44607611,21607411,21607057,44607364,44606794,21606928,NGA280,21606928,ATGGENEA,44607421,44606232,44607372,44607889,44607380,44606313,F5I14,21607700,21607386,21607030,ATHATPASE,44607217,44606541,44606419,MSAT2.5,44607470,44606444,NGA1145,44606322,44607930,44607503,21607038,44606199,21607005,44606598,T10J7-T7,21607259,44607898,44607063,44607332,PHYB,44607727,21607013,44606892,MSAT2.36,21607488,44607914,44606590,ATHGPA1,44606940,44607824,NGA361,21607157,44606810,NGA168,44607922,21607656,BIO2,44607619,44606769,21607209,44606533,21607479,NGA172,44606957,21606963,44606607,44607987,44607283,NGA162,44608020,21607175,NT204,44607022,44606631,44606436,44607087,44607586,44606281,21607573,44606908,44606208,44607120,21607496,MSAT3.32,44607578,44607735,44606265,44606672,21607675,21607683,44606843,44606330,21607369,CDC2BG,44606395,44606427,44607348,44608003,21607250,44607340,44606102,44606273,NGA6,44607784,21606963,MSAT4.39,21607623,44607553,21607327,44606216,44606493,NGA8,NGA1111,21607606,21607192,21607021,44606916,21607200,44606558,21607750,MSAT4.15,21607513,44607816,44606118,21607733,44607545,21607394,MSAT4.18,21607184,44607751,44607759,44606289,NGA1139,44606688,NGA1107,MSAT4.37,44606574,44607046,21607529,44606761,NGA225,44607234,NGA249,21607402,44607857,44606159,CA72,44607250,44607160,NGA139,44607209,21607148,NGA76,44607709,ATHPHYC,MSAT5.22,44606338,21606996,44607643,44606110,44607095,44607038,44606452,MSAT5.9,44607676,44606403,44607767,44606460,44606297,44606778,44607808,44607185,NGA129,44606745,JV65/66,44607995,44606712,44606826,44607193,JV75/76,MTH12,MBK-5
,hypolength,hypolength,hypolength,hypolength,hypolength,Chromosome,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_1,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_2,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_3,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_4,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5,Chr_5
,(mm),(mm),(mm),(mm),(mm),Position,592464,1042028,1243168,2991798,3212191,3229453,3294414,3398022,3941262,4175292,4529095,4569323,4826763,6940693,7296649,8014952,8384891,8682427,8727055,9058891,9343234,9496666,9831766,9973150,10641417,11159587,11362148,13395451,15160926,15443285,14160180,15926702,15976827,16395208,16395208,16095354,16874305,16836263,17355484,17363901,18155049,18433043,18632610,18714454,19089517,19672910,20083545,20663759,20877447,20663759,22400757,22492711,22569092,22793052,23155464,23270329,24190997,24374008,24443023,26641063,27298033,28537561,2991798,29897892,172277,208178,311073,592553,683625,839342,1737436,2270294,2363655,3946002,4022833,4263285,4858409,6595623,7237666,7432996,7551069,8146713,8370574,8439620,8659687,8685521,8899294,9653034,10049851,11204101,11456847,12435063,13229491,14638387,15251663,16298919,16837084,16849519,18019881,18252715,18602635,18694070,19601674,580028,786303,2231413,2382319,2967832,3895793,4140699,4608284,4818362,5140787,5570082,6353188,6631196,6890596,7307668,7842037,8041706,8535247,9942057,10790463,10995480,11192039,11208231,11398071,12647139,15116441,15232977,16551391,17379209,18590590,18779784,19625747,20070710,20327825,20428108,20728533,21127342,21306942,21632379,22146206,22787414,23042025,23053771,2382319,89498,2132000,3006871,3842098-394,4197233,5077409,5628810,6089581,5640276,6042254,6822241,8078388,7141851,8297594,7340053,9362588,8341345,9577993,9676797,9240354,10482038,10842324,11966304,12042601,14075640,14532967,14935788,16444155,17257880,18096131,18336495,342177,476340,576287,872097,1507104,1586121,2770217,2899846,3092584,4235132,4254762,5725918,8331140,8428136,8562462,9404805,10418614,13814976,14025127,13961061,14215995,14462583-111,14661116,14870781,15171770,15871814,16259147,17252309,17864866,18065657,18258413,18464494,19123616,19315950,19414594,19715720,20133116,21318883,22027830,22116605,22317718,22414510,23815354,23879358,24100521,25494866
1,-,-,-,-,12.2,,A,A,A,B,-,B,B,B,B,B,-,B,B,A,A,A,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,-,A,A,A,A,B,B,B,B,B,B,B,B,A,A,-,A,A,A,A,A,-,A,A,A,A,-,A,B,B,B,A,-,A,A,A,A,A,B,B,B,A,A,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,-,B,B,-,A,A,A,A,A,A,A,-,A,B,B,B,B,B,B,B,B
2,5.5,7.5,6,3.6,12,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,-,A,A,A,A,A,B,B,B,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A
3,5.6,-,7.1,2.2,12.1,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,-,B,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,-,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,-,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,B,B,B,-,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B
4,4.8,7,6.2,3.1,10.2,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,A,-,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,-,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,B,B,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,-,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B
5,5.1,5.7,5.3,2.4,10,,A,A,A,A,A,A,-,-,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,-,B,B,B,B,B,B,-,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
6,4.6,4.5,5.4,2.4,10.4,,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,-,A,-,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,-,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,B,A,A,A,B,B,B,B
7,4.4,5.3,-,2.7,11,,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,-,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-
8,5.7,6.2,6.5,3.5,12.6,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,A,A,A,A,A,A,A,A,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,-,B,B,-,B,-,A,-,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,-,A,-,B,B,B,-,B,-,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,-,A,A,-,A,A,A,A,A,-,B,B,B,B,B,B,-,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,-,A,A,A
